ID_Zindi,GT_NO2
ID_2MYNQS,37.656183247508594
ID_P4U5WU,37.359196071855834
ID_U4KWPK,35.57479056935198
ID_QGSNTZ,35.15109322325174
ID_GHSZ6K,39.199421548423054
ID_NKPFFW,27.793684578841827
ID_Z9ICW9,28.314810342250443
ID_H2YFI6,27.2482449305198
ID_RMBWWV,20.200894677082708
ID_8JASJD,34.88647494344779
ID_BVXTI2,28.218607143675214
ID_NDIOUZ,21.453414438304247
ID_AWH9CU,33.31723469227843
ID_FF8GFR,42.35251948908744
ID_SQCZ4B,49.03791468298537
ID_C2YTPV,37.15073270715868
ID_WV7RFQ,35.5612632619216
ID_E3CKAK,27.80941312645543
ID_U7XGZ3,38.996662613787294
ID_X8599L,43.021028941578614
ID_HR1N35,48.04715515442449
ID_O6FGA6,38.994711641940924
ID_Y1FO8G,47.25274739559062
ID_SGDI1C,40.24017756745625
ID_T2H0JJ,38.52510397012832
ID_V7BMNG,38.357857140057355
ID_S5MA32,45.763504171574866
ID_ANJZBA,45.71480622067159
ID_NZT2L7,46.46218948085851
ID_E4N2P4,37.967202272788455
ID_2LPD4W,48.055697514694934
ID_U51CCO,38.71312197017365
ID_7P7MDZ,38.42042156256279
ID_ZOMAXE,46.008498169524096
ID_L3HX41,45.753866349244475
ID_8E6XW7,36.928051665693616
ID_L36A06,39.02723820015437
ID_4UUVO8,38.50817573807352
ID_AI3L14,55.27225131490152
ID_Q3TKJO,44.716074360559546
ID_YSLM9R,48.82076570642857
ID_16OJ5Q,36.74027350263454
ID_BCQDMF,38.128065965409014
ID_HESMLO,34.6556049687113
ID_LVSQ5Z,50.6190703732571
ID_NYSBK9,41.390821970247025
ID_JO0816,49.47254162199366
ID_YU2FDJ,32.800900039630925
ID_WK1H30,37.44524690644125
ID_IMZNQW,42.28323592435469
ID_SV2X3R,22.330410067398685
ID_CUSO3Y,26.530643070432504
ID_3UDDC0,32.19393462385264
ID_W2SSXO,26.188621788368202
ID_WMBNA7,29.642230686010958
ID_8VHGC2,35.561495150763896
ID_EQZ4UO,27.94615986234362
ID_1HERHC,39.91443346608363
ID_CGV391,46.6373932048845
ID_D83DS9,24.00120594372459
ID_QB5VS9,44.067545287288716
ID_W4DSPL,46.42857557350253
ID_9QKTKF,48.192637230038116
ID_HUZUAO,48.50485089641134
ID_PTL4H1,47.826622686679485
ID_WG2SNW,38.851657812471636
ID_Y1YZTR,30.02614699627531
ID_TBFXSQ,31.937877058258024
ID_S53F29,44.422121914707304
ID_TYNKOT,33.35799947008874
ID_N6M5PK,37.85673407173487
ID_R760HZ,26.414293355206297
ID_3PBV8W,43.57478540749834
ID_VIF4K7,42.94899932636575
ID_JDSXF9,50.65857765906117
ID_3VGIYJ,52.12387918219998
ID_SPQFBT,53.32191204969986
ID_02BG4I,43.99086035798303
ID_EJIJRY,42.181409009146044
ID_M0JA5H,44.73147688474584
ID_5AQZBC,19.135570762441244
ID_YMSH34,40.83821743229512
ID_42SUHK,26.745593265021512
ID_JMWTV5,35.68429348371832
ID_719VF9,38.98882656136602
ID_0S1YRT,48.747779203141434
ID_O6PX6V,39.794102730026715
ID_U5WPHP,44.472610205814256
ID_380H7O,42.99895744967971
ID_9J0SDU,27.7955571090221
ID_AJ3XXY,52.61124733301332
ID_P89XNE,51.55184435439599
ID_RZ2XF4,52.23106751856978
ID_UX114U,51.56256893396406
ID_8RV42R,54.03818135308964
ID_5VJL5N,46.75474662988515
ID_9PWE2N,48.57627025301882
ID_XGMDRY,48.163927079071534
ID_VB1LGM,49.247725229482704
ID_1GKYOS,50.956598950420066
ID_WHJZDT,51.81492733105442
ID_4QSMAQ,43.96532767958381
ID_L7B5ZY,33.715312929954585
ID_88WB3J,31.68956635288468
ID_G0B9R1,33.491090254464275
ID_HEHFYZ,38.43670666051787
ID_U4MH6V,43.41116988261767
ID_1TBLHY,28.25257056573573
ID_EFNXPP,27.311130661193523
ID_KQOP09,28.850396315901243
ID_XDQZBU,32.64863565109975
ID_5OFLXB,26.70950814133897
ID_6DMT73,28.32918251712524
ID_HCNU75,18.599817144267764
ID_9IZ1F3,27.997485474713343
ID_P85NVK,32.45373853950468
ID_FQXMS7,37.627778281279824
ID_XBQE3E,39.17632082827579
ID_AVZR1W,41.10775894622591
ID_XSS3NL,27.434599753912465
ID_00CN88,44.71466145754749
ID_P2F1Y0,38.39452399216563
ID_D3HAGW,47.06615660774523
ID_5NGNZ7,42.87423229347119
ID_FZ08P6,50.20143182892089
ID_8T5VQQ,35.17226095377628
ID_SYLIJC,33.26789430684283
ID_PMINX4,35.13976732308664
ID_9ZTLNW,61.9985811633055
ID_H4WXYP,50.043717270320556
ID_FLBV3R,48.709916781238526
ID_PE422R,39.332710448804114
ID_1AI88B,27.949442554725266
ID_QMXZFN,29.41051796925587
ID_XC2DIG,51.50663815177548
ID_SE251I,34.64187808234294
ID_UUGCEI,48.2631838489656
ID_TD5E6W,27.20836975126938
ID_CYN3T0,35.049766601793
ID_0EAGHS,28.00691660340155
ID_YB1WQM,57.33318234873233
ID_YMWXTO,39.627498525598995
ID_HH0TRT,41.65568338707357
ID_KOPCMZ,29.003684013578265
ID_NTHF58,45.09601329740093
ID_3Z4ZA8,41.68179125376562
ID_6NNBCG,56.682389004851764
ID_QDK3CW,48.93875721076391
ID_S0YUCU,55.1437898937593
ID_1SR64A,39.75223048011097
ID_S1IZGI,52.893478552694894
ID_2Z04F4,48.77349097781112
ID_QGOZ4I,59.8756208990393
ID_6VNA2H,53.31323252131435
ID_JYRSLO,56.01816804757328
ID_NCX04P,42.50743528797511
ID_9ATM6M,34.83320901519206
ID_T5U6UI,37.57799636521336
ID_JP6T7H,57.18038290746778
ID_T07JZ4,47.51450686126782
ID_X749KY,49.97994076008483
ID_MSDJGP,35.694361920444244
ID_D8FVLH,44.4807047968682
ID_T07YFP,40.095695403088286
ID_YO32FZ,30.81125766839292
ID_HHUWFL,40.49763369074568
ID_T1S7BP,50.41614010891802
ID_DE8254,36.89902409344811
ID_J4CTFY,46.5639447025279
ID_7P55AK,38.41744956364796
ID_8DWBTG,57.99901249236976
ID_DV6XYR,45.02094336977795
ID_EOO9GF,49.64650950163998
ID_DGYDFM,35.21064968291922
ID_LXT08Q,30.797875545763993
ID_I3UIJP,35.12106375682732
ID_3XXPD0,52.936658000723014
ID_LRVNMJ,39.31059453526982
ID_KVE67K,40.84656434638552
ID_BT18EV,27.413922032208003
ID_3S1MU2,41.2770655991974
ID_EVF4WN,33.08503960573637
ID_9OF8WC,54.426900137464685
ID_8TKMQ6,39.92993017778341
ID_KYZ9TF,45.35215071425298
ID_NX3B0L,30.36825495765613
ID_81RDIA,29.44662682841101
ID_CWS65L,30.12978169925458
ID_Y2H333,40.69492253084578
ID_TNUM0G,41.803371006895176
ID_ECJ8SN,37.468499182786694
ID_21Y3C6,32.6379567574694
ID_4ZWMDG,34.31698465468588
ID_ATGLAK,31.173524843689496
ID_C6PAF8,47.1946201585093
ID_BNLZ96,41.67547338482843
ID_LGXDIK,46.400368951643514
ID_QGJBYK,33.74209778678127
ID_I0SIZ6,34.86015540827012
ID_JG5DXI,31.48581887996272
ID_OWNXVF,43.33744293944993
ID_QZYMKE,36.08465459280373
ID_DCEEFG,42.20750429237434
ID_36SC85,32.330600164978016
ID_N87PHJ,28.370608941640956
ID_VWF9MC,32.91972927033097
ID_BI3S7X,53.80340415072928
ID_MA976Y,38.6222720976027
ID_S4NSDD,39.7475221644148
ID_TDNCNR,26.86804246509504
ID_MHYI7B,28.829809356828697
ID_K48DE9,27.981921430182883
ID_KM07I8,56.62962747085294
ID_GP48RE,44.743665816325525
ID_ZOPA46,45.2962754706036
ID_D8JB4T,28.73738627629718
ID_41EDI7,31.639916953019355
ID_SNVU47,37.8902846422672
ID_7FKO62,56.87286908547841
ID_S5VX6I,42.52445762906743
ID_KNCLXN,46.83145138938835
ID_A4BATZ,29.958902274926004
ID_J03MV3,43.07360442317426
ID_P9OE4S,38.279561103034055
ID_Q1PRBG,38.8009664651046
ID_Q10V8C,37.23619250974441
ID_NOATDU,41.996360163604564
ID_W5SLZU,34.45993236943128
ID_T2DXWM,47.22805879946689
ID_M0NZ6D,38.856853387872015
ID_5140O6,51.90949584726483
ID_038M7Y,44.86490022010248
ID_0S0373,44.04005038035135
ID_VWD7DI,39.274692310608295
ID_SJYCEE,40.299910074110066
ID_25G64C,40.323951354143
ID_PNVJI8,47.674588462829945
ID_NE1XAV,28.143918340531577
ID_NYUAMY,44.57007588268976
ID_247EAN,33.67232065300918
ID_UG1YXH,33.59626365532608
ID_HUFCGC,37.559992751108254
ID_61P0M3,42.422346948702916
ID_PTT5EI,38.06420082335603
ID_L1W3E6,43.02753645277996
ID_1QC8JE,29.70975308492811
ID_I2XJEM,24.614102174826225
ID_LCNYYS,25.306781926770878
ID_TVIRIR,22.199399240644482
ID_UEQFZ8,23.81728364041611
ID_S3A60D,27.10429907231213
ID_CQIE63,20.622637955531236
ID_XVY9B0,38.80752757380237
ID_D7SJMQ,45.46997500326857
ID_XFZUUP,30.584824588763134
ID_324AL4,39.2560252338189
ID_JEAV4L,25.817928112018425
ID_JPAMP0,23.19126763372984
ID_RW4P5I,34.47135376077356
ID_EVIRS5,49.67274226970811
ID_MDXA9Q,55.75703388296576
ID_UQPAHX,38.61354296730582
ID_6NS4HK,47.51142976969095
ID_ETMQAQ,19.72473361441684
ID_ZQ74RN,50.82795036469915
ID_5GPXQS,45.43615860860266
ID_MK8DH6,46.84372732860459
ID_RUQ637,44.21755021935455
ID_MX89OU,46.49139519907481
ID_ZGRGPB,39.341684863245895
ID_H0BEQ5,49.46823285697282
ID_7OJN63,46.05769889366233
ID_JULFW2,49.13165158400156
ID_NPV89T,49.95706560169929
ID_7Z5XLJ,53.20185336361118
ID_HO2XW1,45.303630965098684
ID_FOAV7R,50.133993046462486
ID_L7XK3R,45.54785440659172
ID_VMWD8H,48.6296877537892
ID_EP0X8Z,46.28753349272444
ID_1CZMIF,51.092958397699505
ID_H0KT7Y,34.90876024687608
ID_S5FE8D,48.0778832989014
ID_TDRGQG,38.877931242766834
ID_4YA7II,36.25191676228044
ID_IIARPJ,42.41529258013088
ID_978KS8,39.635569712130945
ID_G0L3TY,33.75857542052042
ID_WT4UP1,49.544394338093255
ID_UCX4TL,48.10802830620638
ID_KA40IE,52.39549976923811
ID_EO8K7Q,42.6577964671925
ID_YBXQ2E,37.83036930769906
ID_UPQ1DL,32.87422155102514
ID_TBVSX7,40.43155201250965
ID_1F2XZ9,36.973403300981374
ID_2KTZ7A,49.40105036797416
ID_OTH1N0,40.919658553781225
ID_S6O2TF,35.759254372201546
ID_Z80DW5,32.09046547819508
ID_1S4OUT,29.332262815635882
ID_NAMF64,35.74344576169083
ID_LOUSFV,54.43648283920527
ID_1L4KQQ,39.38345169842443
ID_UE5EPK,40.05310189554851
